,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,cloud50iddle,1.5,
,cloud51iddle,1.6,
,,,
,,Submariner,
,,Sender,Receiver
,64-1,1.108,1.332
,64-2,1.598,1.428
,64-4,2.414,1.566
,1024-1,1.01,1.222
,1024-2,1.362,1.224
,1024-4,1.406,1.252
,8192-1,0.996,1.222
,8192-2,1.25,1.23
,8192-4,1.274,1.29
,,,
,cloud50iddle,1.48,
,cloud51iddle,1.37,
,,,
,,Skupper,
,,Sender,Receiver
,64-1,2.76,2.41
,64-2,4.68,3.99
,64-4,5.92,4.98
,1024-1,2.40,2.51
,1024-2,4.46,4.48
,1024-4,4.58,4.61
,8192-1,2.38,2.52
,8192-2,4.41,4.41
,8192-4,4.63,4.62
,,9.27,